0,ling4
眼白,ngaan5 baak2
眼皮,ngaan5 pei4
眼皮子,ngaan5 pei4 zi2
眼目,ngaan5 muk6
眼眉,ngaan5 mei4
眼眉毛,ngaan5 mei4 mou4
眼眵,ngaan5 ci1
眼眶,ngaan5 kwaang1
眼眶,ngaan5 hong1
眼眸,ngaan5 mau4
眼睛,ngaan5 zing1
眼睫毛,ngaan5 zit3 mou4
眼瞼,ngaan5 gim2
眼瞼,ngaan5 lim4
眼神,ngaan5 san4
眼福,ngaan5 fuk1
眼科,ngaan5 fo1
眼窩,ngaan5 wo1
眼線,ngaan5 sin3
眼緣,ngaan5 jyun4
眼線液,ngaan5 sin3 jik6
眼罩,ngaan5 zaau3
眼肚,ngaan5 tou5
眼色,ngaan5 sik1
眼藥,ngaan5 joek6
眼藥水,ngaan5 joek6 seoi2
眼袋,ngaan5 doi2
眼裡,ngaan5 leoi5
眼角,ngaan5 gok3
眼角膜,ngaan5 gok3 mok2
眼角膜,ngaan5 gok3 mok6
眾說,zung3 syut3
眾議,zung3 ji5
眾議員,zung3 ji5 jyun4
眾議院,zung3 ji5 jyun2
眼部,ngaan5 bou6
眼鏡,ngaan5 geng2
眼鏡,ngaan5 geng3
眼鏡套,ngaan5 geng3 tou3
眼鏡娘,ngaan5 geng2 noeng4
眼鏡房,ngaan5 geng2 fong2
眼鏡猴,ngaan5 geng2 hau4
眼鏡王蛇,ngaan5 geng2 wong4 se4
眼鏡盒,ngaan5 geng3 hap6
眼鏡蛇,ngaan5 geng2 se4
眷顧,gyun3 gu3
眾香子,zung3 hoeng1 zi2
眼點,ngaan5 dim2
睃,zeon3
睃,so1
睊,gyun1
睎,hei1
睇場,tai2 coeng4
睇法,tai2 faat3
睇相佬,tai2 soeng3 lou2
睇相先生,tai2 soeng3 sin1 saang1
睇頭,tai2 tau4
䁆,zaap1
睔,gwan3
睕,wan1
睕,jyun2
睖,ling6
睚,ngaai4
睚,ngaai6
睛,zing1
睟,seoi3
睟,seoi6
睥,pai5
睥,pai3
睥,pei5
睧,fan1
睪,jik6
睫,zit6
睫,zip3
睫,zit3
睪丸,gou1 jyun2
睪丸癌,gou1 jyun2 ngaam4
睪丸網,gou1 jyun2 mong5
睪固酮,gou1 gu3 tung4
督學,duk1 hok6
督察,duk1 caat3
督憲,duk1 hin3
督戰隊,duk1 zin3 deoi6
督撫,duk1 fu2
睫毛,zit6 mou4
睫狀肌,zit3 zong6 gei1
睫狀體,zit3 zong6 tai2
睚眥,ngaai4 zaai6
睚眥,ngaai6 zaai6
睥睨,pai3 ngai6
督軍,duk1 gwan1
睪酮,gou1 tung4
睴,gwan3
睻,hyun1
睽,kwai4
睾,gou1
睿,haai6
睿,jeoi6
睡夢,seoi6 mung6
睡姿,seoi6 zi1
睡帽,seoi6 mou2
睡意,seoi6 ji3
睡房,seoi6 fong2
睡椅,seoi6 ji2
睡眠,seoi6 min4
睡眠不足,seoi6 min4 bat1 zuk1
睡眠呼吸暫停,seoi6 min4 fu1 kap1 zaam6 ting4
睡眠癱瘓症,seoi6 min4 taan1 wun6 zing3
睡眠癱瘓症,seoi6 min4 taan2 wun6 zing3
睡眠窒息症,seoi6 min4 zat6 sik1 zing3
瞅睬,cau2 coi2
睡蓮,seoi6 lin4
睡衣,seoi6 ji1
睡衫,seoi6 saam1
睡袋,seoi6 doi2
睡袍,seoi6 pou4
睡裙,seoi6 kwan4
睡褲,seoi6 fu3
睡鋪,seoi6 pou1
睡鼠,seoi6 syu2
瞈,jung2
瞋,can1
瞍,sau2
瞐,mok6
瞑,ming4
瞑,ming5
瞎子,hat6 zi2
瞓房,fan3 fong2
瞓房,fan3 fong4
瞎眼,hat6 ngaan5
瞇瞇眼,mi1 mi1 ngaan5
瞇瞇眼,mei1 mei1 ngaan5
瞓衫,fan3 saam1
瞓覺衫,fan3 gaau3 saam1
瞎話,hat6 waa6
䁪,zaam2
瞕,zoeng3
瞙,mok6
瞞,mun4
瞢,mung4
瞬,seon3
瞮,cit3
瞳,tung4
瞳人,tung4 jan4
瞳人,tung4 jan2
瞳仁,tung4 jan4
瞳子,tung4 zi2
瞳孔,tung4 hung2
瞬息,seon3 sik1
瞬時,seon3 si4
瞭望臺,liu4 mong6 toi4
瞬間,seon3 gaan1
瞬間移動,seon3 gaan1 ji4 dung6
瞼,gim2
瞼,lim4
瞿,geoi3
瞿,geoi6
瞻禮,zim1 lai5
瞼緣炎,gim2 jyun4 jim4
瞽者,gu2 ze2
矛,maau4
矛盾,maau4 teon5
矛盾律,maau4 teon5 leot6
矛頭,maau4 tau4
䂆,hek3
䂆,gwik1
䂇,naau2
矜,ging1
䂎,zyun2
矢,ci2
矢石,ci2 sek6
矢車菊,ci2 ce1 guk1
矢量,ci2 loeng6
矢量空間,ci2 loeng6 hung1 gaan1
知,zi1
知了,zi1 liu5
知交,zi1 gaau1
知名人士,zi1 ming4 jan4 si6
知名度,zi1 ming4 dou6
知命,zi1 ming6
知客,zi1 haak3
知客,zi1 haak2
知州,zi1 zau1
知己,zi1 gei2
知府,zi1 fu2
知心,zi1 sam1
知情人,zi1 cing4 jan4
知情同意,zi1 cing4 tung4 ji3
知情權,zi1 cing4 kyun4
知母,zi1 mou5
知租處,zi1 zou1 cyu3
知縣,zi1 jyun6
知縣,zi1 jyun2
知覺,zi1 gok3
知識,zi1 sik1
知識,zi3 sik1
知識分子,zi1 sik1 fan6 zi2
知識工人,zi1 sik1 gung1 jan4
知識庫,zi3 sik1 fu3
知識產權,zi3 sik1 caan2 kyun4
知識產權,zi1 sik1 caan2 kyun4
知識界,zi1 sik1 gaai3
知識經濟,zi1 sik1 ging1 zai3
知識階級,zi1 sik1 gaai1 kap1
知識青年,zi1 sik1 cing1 nin4
知識點,zi1 sik1 dim2
知遇,zi1 jyu6
知青,zi1 cing1
知音,zi1 jam1
矧,can2
矩,geoi2
矩尺,geoi2 cek3
矩形,geoi2 jing4
矩陣,geoi2 zan6
短信,dyun2 seon3
短倉,dyun2 cong1
短刀,dyun2 dou1
短劍,dyun2 gim3
短吻鱷,dyun2 man5 ngok6
短命鬼,dyun2 meng6 gwai2
短宣,dyun2 syun1
短尾矮袋鼠,dyun2 mei5 ai2 doi6 syu2
短工,dyun2 gung1
短文,dyun2 man4
短時間,dyun2 si4 gaan3
短期,dyun2 kei4
短板,dyun2 baan2
短槍,dyun2 coeng1
短毛貓,dyun2 mou4 maau1
短波,dyun2 bo1
短片,dyun2 pin2
短笛,dyun2 dek6
短篇,dyun2 pin1
短篇小說,dyun2 pin1 siu2 syut3
短簫,dyun2 siu1
短處,dyun2 cyu3
短行,dyun2 hang6
短裙,dyun2 kwan4
短褲,dyun2 fu3
短襪,dyun2 mat6
短見,dyun2 gin3
短角羚,dyun2 gok3 ling4
短訊,dyun2 seon3
短評,dyun2 ping4
短語,dyun2 jyu5
短語動詞,dyun2 jyu5 dung6 ci4
短足擬石蟹,dyun2 zuk1 ji5 sek6 haai5
短跑,dyun2 paau2
短途,dyun2 tou4
短除法,dyun2 ceoi4 faat3
短音,dyun2 jam1
短髮,dyun2 faat3
矮人,ai2 jan4
矮仔,ai2 zai2
矮個,ai2 go3
矮個兒,ai2 go3 ji4
矮個子,ai2 go3 zi2
矮凳,ai2 dang3
矮壯素,ai2 zong3 sou3
矮子,ai2 zi2
矮星,ai2 sing1
矮林,ai2 lam4
矮瓜,ai2 gwaa1
矮腳白花蛇利草,ai2 goek3 baak6 faa1 se4 lei6 cou2
矮行星,ai2 hang4 sing1
矮黑人,ai2 hak1 jan4
矰,zang1
矱,wok3
石,sek6
石,sek2
石Q,sek6 kiu1
石仔,sek6 zai2
石像,sek6 zoeng6
石刁柏,sek6 diu1 paak3
石刑,sek6 jing4
石刻,sek6 hak1
石刻,sek6 haak1
石化,sek6 faa3
石化業,sek6 faa3 jip6
石匠,sek6 zoeng6
石器,sek6 hei3
石塊,sek6 faai3
石壁,sek6 bik1
石壆,sek6 bok3
石女,sek6 neoi5
石子,sek6 zi2
石室,sek6 sat1
石屎,sek6 si2
石屎森林,sek6 si2 sam1 lam4
石岐話,sek6 kei4 waa2
石工,sek6 gung1
石拱橋,sek6 gung2 kiu4
石敢當,sek6 gam2 dong1
石斑,sek6 baan1
石斑魚,sek6 baan1 jyu2
石料,sek6 liu2
石斛,sek6 hap6
石春,sek6 ceon1
石板,sek6 baan2
石林,sek6 lam4
石棉,sek6 min4
石棺,sek6 gun1
石榴,sek6 lau2
石榴,sek6 lau4
石榴石,sek6 lau4 sek6
石榴裙,sek6 lau4 kwan4
石橋,sek6 kiu4
石決明,sek6 kyut3 ming4
石油,sek6 jau4
石油化,sek6 jau4 faa3
石油化學,sek6 jau4 faa3 hok6
石油氣,sek6 jau4 hei3
石油醚,sek6 jau4 mai4
石澗,sek6 gaan3
石灘,sek6 taan1
石灰,sek6 fui1
石灰岩,sek6 fui1 ngaam4
石灰水,sek6 fui1 seoi2
石灰石,sek6 fui1 sek6
石牌,sek6 paai4
石牯,sek6 gu2
石狗公,sek6 gau2 gung1
石獅,sek6 si1
石獅子,sek6 si1 zi2
石琴,sek6 kam4
石田,sek6 tin4
石碇,sek6 ding3
石碑,sek6 bei1
石磐,sek6 pun4
石磨,sek6 mo4
石礦場,sek6 kwong3 coeng4
石窟,sek6 fat1
石竹,sek6 zuk1
石筍,sek6 seon2
石級,sek6 kap1
石經,sek6 ging1
石綿,sek6 min4
石耳,sek6 ji5
石胡荽,sek6 wu4 seoi1
石腦油,sek6 nou5 jau4
石膏,sek6 gou1
石臼,sek6 kau5
石舫,sek6 fong2
石花,sek6 faa1
石花膠,sek6 faa1 gaau1
石花菜,sek6 faa1 coi3
石英,sek6 jing1
石英鐘,sek6 jing1 zung1
石蕊,sek6 jeoi5
石蕊試紙,sek6 jeoi5 si3 zi2
石蚌,sek6 pong5
石蠟,sek6 laap6
石鍋,sek6 wo1
石鍋拌飯,sek6 wo1 bun6 faan6
石門,sek6 mun4
石階,sek6 gaai1
石頭,sek6 tau4
石首,sek6 sau2
石鹼,sek6 gaan2
石鹽,sek6 jim4
石墨,sek6 mak6
石鼓,sek6 gu2
石鼓文,sek6 gu2 man4
䂖,zi2
矸,gon1
矽,zik6
矸子,gon1 zi2
矸石,gon1 sek6
矽肺,zik6 fai3
矽膠,zik6 gaau1
泵,bam1
泵,bung1
砂,saa1
砆,fu1
砈,ngo5
砒,pei1
研,jin4
研,ngaan4
砘,deon6
砌圖,cai3 tou4
砂岩,saa1 ngaam4
泵房,bam1 fong4
泵把,bam1 baa2
研杵,jin4 cyu2
砌機,cai3 gei1
泵浦,bam1 pou2
砉然,waak6 jin4
砂煲,saa1 bou1
砂煲罌𦉘,saa1 bou1 aang1 caang1
砂煲飯,saa1 bou1 faan6
砂石,saa1 sek6
砌磚工,cai3 zyun1 gung1
研究,jin4 gau3
研究員,jin4 gau3 jyun4
研究室,jin4 gau3 sat1
研究所,jin4 gau3 so2
研究會,jin4 gau3 wui2
研究生,jin4 gau3 saang1
研究者,jin4 gau3 ze2
研究院,jin4 gau3 jyun2
砂箱,saa1 soeng1
砂糖,saa1 tong4
砂紙,saa1 zi2
研缽,jin4 but3
研討會,jin4 tou2 wui2
砂輪,saa1 leon4
砂鍋,saa1 wo1
砒霜,pei1 soeng1
砟,zaa2
砥,dai2
砥,zi1
砥,zi2
砦,zaai6
砧,zam1
砭,bin1
砮,nou5
砱,ling4
砵,aat3
砷,san1
砹,ngaai6
砼,tung4
鿬,tin4
破傷風,po3 soeng1 fung1
破冰船,po3 bing1 syun4
砷化氫,san1 faa3 hing1
破壁機,po3 bik1 gei1
破壞力,po3 waai6 lik6
破壞性,po3 waai6 sing3
破局,po3 guk6
破布,po3 bou3
破折號,po3 zit3 hou6
砧板,zam1 baan2
砥柱,dai2 cyu5
破洞,po3 dung6
破爛,po3 laan6
砭石,bin1 sek6
砰碐磅硠,ping4 ling1 pong4 long4
砰碐磅硠,ping4 ling4 pong4 long4
砝碼,faat3 maa5
砰磅,ping1 pong4
砥礪,dai2 lai6
破窗效應,po3 coeng1 haau6 jing3
破綻,po3 zaan6
破裂音,po3 lit6 jam1
破讀,po3 duk6
砵酒,but1 zau2
砷酸,san1 syun1
破銅爛鐵,po3 tung4 laan6 tit3
破鏡,po3 geng3
破鞋,po3 haai4
砧骨,zam1 gwat1
破骨細胞,po3 gwat1 sai3 baau1
破魔師,po3 mo1 si1
䂮,loek6
硃,zyu1
硅,gwai1
硌,lok6
硎,jing4
硐,dung6
硒,sai1
硅石,gwai1 sek6
硇砂,naau4 saa1
硅肺,gwai1 fai3
硅膠,gwai1 gaau1
硜,hang1
硝,siu1
硪,ngo4
硪,ngo6
硫,lau4
硯,jin6
硯,jin2
硬仗,ngaang6 zoeng3
硫代硫酸,lau4 doi6 lau4 syun1
硫代硫酸鈉,lau4 doi6 lau4 syun1 naap6
硬件,ngaang6 gin2
硬傷,ngaang6 soeng1
硝化,siu1 faa3
硬化,ngaang6 faa3
硫化亞鐵,lau4 faa3 aa3 tit3
硫化氫,lau4 faa3 hing1
硫化汞,lau4 faa3 hung6
硝化甘油,siu1 faa3 gam1 jau4
硬化症,ngaang6 faa3 zing3
硫化鈉,lau4 faa3 naap6
硫化鈣,lau4 faa3 koi3
硫化鉀,lau4 faa3 gaap3
硫化鉛,lau4 faa3 jyun4
硫化銀,lau4 faa3 ngan4
硫化鋅,lau4 faa3 san1
硬口蓋,ngaang6 hau2 goi3
硝基,siu1 gei1
硝基苯,siu1 gei1 bun2
硬幣,ngaang6 bai6
硬度,ngaang6 dou6
硬座,ngaang6 zo6
硬指標,ngaang6 zi2 biu1
硫柳汞,lau4 lau5 hung3
硬殼,ngaang6 hok3
硫氰酸,lau4 cing1 syun1
硫氰酸,lau4 cing4 syun1
硫氰酸酶,lau4 cing1 syun1 mui4
硫氰酸酶,lau4 cing4 syun1 mui4
硬水,ngaang6 seoi2
硬漢,ngaang6 hon3
硝煙,siu1 jin1
硬照,ngaang6 ziu3
硬盤,ngaang6 pun2
硬盤,ngaang6 pun4
硬碟,ngaang6 dip2
硨磲,ce1 keoi4
硬筆,ngaang6 bat1
硬紙板,ngaang6 zi2 baan2
硬脂精,ngaang6 zi1 zing1
硫胺素,lau4 on1 sou3
硬脂酸,ngaang6 zi1 syun1
硬脂酸鈣,ngaang6 zi1 syun1 koi3
硫脲,lau4 niu6
硬腦膜,ngaang6 nou5 mok2
硬膠,ngaang6 gaau1
硬臥,ngaang6 ngo6
硯臺,jin6 toi4
硬通貨,ngaang6 tung1 fo3
硝酸,siu1 syun1
硫酸,lau4 syun1
硫酸亞鐵,lau4 syun1 aa3 tit3
硫酸氫鈉,lau4 syun1 hing1 naap6
硝酸鈉,siu1 syun1 naap6
硝酸鈣,siu1 syun1 koi3
硫酸鈉,lau4 syun1 naap6
硫酸鈣,lau4 syun1 koi3
硝酸鉀,siu1 syun1 gaap3
硝酸鉛,siu1 syun1 jyun4
硫酸鉀,lau4 syun1 gaap3
硫酸鉛,lau4 syun1 jyun4
硝酸銀,siu1 syun1 ngan4
硝酸銅,siu1 syun1 tung4
硝酸銨,siu1 syun1 on1
硫酸銀,lau4 syun1 ngan4
硫酸銅,lau4 syun1 tung4
硫酸銨,lau4 syun1 on1
硝酸鋁,siu1 syun1 leoi5
硝酸鋅,siu1 syun1 san1
硝酸鋇,siu1 syun1 bui3
硫酸鋁,lau4 syun1 leoi5
硫酸鋇,lau4 syun1 bui3
硝酸鎂,siu1 syun1 mei5
硫酸鎂,lau4 syun1 mei5
硝酸鐵,siu1 syun1 tit3
硫酸鐵,lau4 syun1 tit3
硝酸鹽,siu1 syun1 jim4
硫酸鹽,lau4 syun1 jim4
硫醚,lau4 mai4
硬顎,ngaang6 ngok6
硬顎音,ngaang6 ngok6 jam1
硬骨頭,ngaang6 gwat1 tau4
硬體,ngaang6 tai2
硫黃,lau4 wong4
硼,pang4
硼,paang4
碇,ding3
碉,diu1
碌,luk1
碌,luk6
碎,seoi3
碑,bei1
碓,deoi3
碗,wun2
碘,din2
碙,gong1
碑亭,bei1 ting4
碗仔,wun2 zai2
碗仔翅,wun2 zai2 ci3
碘仿,din2 fong2
碑刻,bei1 hak1
硼化,pang4 faa3
碘化氫,din2 faa3 hing1
碘化物,din2 faa3 mat6
碘化鈉,din2 faa3 naap6
碘化鉀,din2 faa3 gaap3
碘化銀,din2 faa3 ngan4
碉堡,diu1 bou2
碌士,nuk1 si2
碎屍,seoi3 si1
碎屑,seoi3 sit3
碑帖,bei1 tip3
碑座,bei1 zo6
碑文,bei1 man4
碎料,seoi3 liu2
碎末,seoi3 mut6
碑林,bei1 lam4
碌柒,luk1 cat6
碌柚,luk1 jau2
碉樓,diu1 lau4
碗櫃,wun2 gwai6
碗櫥,wun2 cyu4
碎片,seoi3 pin2
碘甲烷,din2 gaap3 jyun2
碗盤,wun2 pun4
碎石,seoi3 sek6
碑石,bei1 sek6
硼砂,pang4 saa1
碰碰車,pung3 pung3 ce1
碑碣,bei1 kit3
碗碟,wun2 dip6
碗筷,wun2 faai3
碗粿,wun2 gwo2
碎紙,seoi3 zi2
碎紙機,seoi3 zi2 gei1
碎肉,seoi3 juk6
碎肉器,seoi3 juk6 hei3
碌葛,luk1 got3
碑記,bei1 gei3
硼賓,pang4 ban1
碘酊,din2 ding1
碘酊,din1 ding1
碘酒,din2 zau2
碘酒,din1 zau2
硼酸,pang4 syun1
碘酸,din2 syun1
碘酸鉀,din2 syun1 gaap3
碎金,seoi3 gam1
碰鈴,pung3 ling4
碎銀,seoi3 ngan2
碑銘,bei1 ming4
硼鋼,pang4 gong3
碰鐘,pung3 zung1
硼鐵,pang4 tit3
碎音,seoi3 jam1
碑額,bei1 ngaak6
碘鹽,din2 jim4
碟,dip6
碟,dip2
碣,kit3
碥,bin2
碧,bik1
碨,wui1
碩,sek6
碫,dyun3
碬,haa4
碭,dong6
碳,taan3
碸,fung1
磁,ci4
碳中和,taan3 zung1 wo4
碟仔,dip6 zai2
磁力,ci4 lik6
磁力共振,ci4 lik6 gung6 zan3
碳化物,taan3 faa3 mat6
碳化硅,taan3 faa3 gwai1
碳化鈣,taan3 faa3 koi3
碳匯,taan3 wui6
磁卡,ci4 kaat1
磁場,ci4 coeng4
碩士,sek6 si6
碩士學位,sek6 si6 hok6 wai2
碩士生,sek6 si6 sang1
碩士論文,sek6 si6 leon6 man4
碩士論文,sek6 si6 leon6 man2
碟子,dip6 zi2
碩導,sek6 dou6
磁層,ci4 cang4
碭山梨,dong6 saan1 lei2
磁帶,ci4 daai2
磁性,ci4 sing3
磁懸浮,ci4 jyun4 fau4
磁振子,ci4 zan3 zi2
碩果,sek6 gwo2
磁條,ci4 tiu4
磁極,ci4 gik6
碳氫化合物,taan3 hing1 faa3 hap6 mat6
碳水化合物,taan3 seoi2 faa3 hap6 mat6
碧池,bik1 ci4
碧海,bik1 hoi2
磁浮,ci4 fau4
碧漢,bik1 hon3
碧玉,bik1 juk6
碧璽,bik1 saai2
磁盤,ci4 pun4
碧眼,bik1 ngaan5
磁矩,ci4 geoi2
磁石,ci4 sek6
磁碟,ci4 dip2
磁碟機,ci4 dip2 gei1
碳稅,taan3 seoi3
碧空,bik1 hung1
碳粉,taan3 fan2
碳紙,taan3 zi2
碳納米管,taan3 naap6 mai5 gun2
碧藍,bik1 laam4
碧螺春,bik1 lo4 ceon1
碧血,bik1 hyut3
碳足跡,taan3 zuk1 zik1
磁通量,ci4 tung1 loeng6
碳達峰,taan3 daat6 fung1
碳酰氯,taan3 sin1 luk6
碳酸,taan3 syun1
碳酸氫鈉,taan3 syun1 hing1 naap6
碳酸氫鈣,taan3 syun1 hing1 koi3
碳酸氫鉀,taan3 syun1 hing1 gaap3
碳酸氫銨,taan3 syun1 hing1 on1
碳酸水,taan3 syun1 seoi2
碳酸酐酶,taan3 syun1 gon1 mui4
碳酸酯,taan3 syun1 zi2
碳酸鈉,taan3 syun1 naap6
碳酸鈣,taan3 syun1 koi3
碳酸鉀,taan3 syun1 gaap3
碳酸銀,taan3 syun1 ngan4
碳酸銨,taan3 syun1 on1
碳酸鋇,taan3 syun1 bui3
碳酸鋰,taan3 syun1 lei5
碳酸鎂,taan3 syun1 mei5
碳酸鹽,taan3 syun1 jim4
磁針,ci4 zam1
碳鋼,taan3 gong3
磁鐵,ci4 tit3
碧雲,bik1 wan4
碟頭飯,dip6 tau2 faan6
碟飯,dip6 faan6
磁體,ci4 tai2
碼,maa5
碽,gung1
碾,zin2
碾,nin5
碾,nin6
磅,bong6
磅,bong2
磈,faai3
磐,pun4
磑,ngoi6
磘,jiu4
確信,kok3 seon3
碼子,maa5 zi2
碾子,zin2 zi2
確定性,kok3 ding6 sing3
碾滾子,nin5 gwan2 zi2
確率,kok3 leot2
磐石,pun4 sek6
碾砣,nin5 to4
磅秤,bong6 cing3
碾米機,nin5 mai5 gei1
碼表,maa5 biu2
確認偏誤,kok3 jing6 pin1 ng6
確證,kok3 zing3
磅錶,bong6 biu1
碼頭,maa5 tau4
碼頭工人,maa5 tau4 gung1 jan4
磕頭蟲,hap6 tau4 cung4
磚,zyun1
磨,mo4
磬,hing3
磭,coek3
𥕢,cou4
磨刀石,mo4 dou1 sek6
磨合期,mo4 hap6 kei4
磨坊,mo6 fong1
磚坯,zyun1 pui1
磚塊,zyun1 faai3
磨子,mo4 zi2
磚家,zyun1 gaa1
磨心,mo6 sam1
磨擦,mo4 caat3
磨煉,mo4 lin6
磨牙,mo4 ngaa4
磨盤,mo4 pun4
磨石,mo4 sek6
磠砂,lou5 saa1
磨碌,mo6 luk1
磟碡,luk6 duk6
磟碡,luk6 zuk6
磟碡,luk1 duk6
磟碡,luk1 zuk6
磚窯,zyun1 jiu4
磨耗,mo4 hou3
磨耳,mo6 ji5
磨難,mo4 naan6
磚頭,zyun1 tau4
䃟,saan3
磯,gei1
磱,lou4
磲,keoi4
磴,dang3
磶,sik1
磷,leon4
磹,taam2
磺,wong4
磾,dai1
礁,ziu1
礅,deon1
磷化氫,leon4 faa3 hing1
磷化鈣,leon4 faa3 koi3
磷火,leon4 fo2
磷灰石,leon4 fui1 sek6
磷細菌,leon4 sai3 kwan2
磷脂,leon4 zi1
磺胺,wong4 on1
磷脂酸,leon4 zi1 syun1
磷蝦,leon4 haa1
磺酰基,wong4 sin1 gei1
磷酸,leon4 syun1
磺酸,wong4 syun1
磷酸丙糖,leon4 syun1 bing2 tong4
磷酸化,leon4 syun1 faa3
磷酸果糖激酶,leon4 syun1 gwo2 tong4 gik1 mui4
磷酸鈉,leon4 syun1 naap6
磷酸鈣,leon4 syun1 koi3
磷酸鉀,leon4 syun1 gaap3
磷酸鹽,leon4 syun1 jim4
䃮,daat6
礌,leoi6
礌,leoi5
礎,co2
礌石,leoi6 sek6
䃰,caat3
礙,ngoi6
礜,jyu6
礤,caat3
礥,jin4
礦,kwong3
礦,gwong3
礦,kong3
礧,leoi5
礧,leoi6
礩,zat1
礩,zat6
礩,zi3
礪,lai6
礫,lik1
礫,lik6
礬,faan4
礬,faan6
礦井,kong3 zeng2
礦區,kwong3 keoi1
礦坑,kwong3 haang1
礦場,kwong3 coeng4
礦夫,kong3 fu1
礦山,kong3 saan1
礦工,kwong3 gung1
礦業,kwong3 jip6
礦泉,kwong3 cyun4
礦泥,kwong3 nai4
礦泉水,kwong3 cyun4 seoi2
礦渣,kong3 zaa1
礦物,kwong3 mat6
礦物學,kwong3 mat6 hok6
礦物學家,kwong3 mat6 hok6 gaa1
礦物質,kwong3 mat6 zat1
礦產,kwong3 caan2
礦石,kong3 sek6
礫石,lik1 sek6
礬石,faan4 sek6
礦脂,kwong3 zi1
礦藏,kwong3 cong4
礦車,kwong3 ce1
礦難,kwong3 naan6
䃴,zyu1
䃶,waai4
䃸,cim3
䃸,cim1
䃸,zaam1
䃺,mo4
示,si6
礻,si6
示例,si6 lai6
示威,si6 wai1
示威者,si6 wai1 ze2
示字旁,si6 zi6 pong4
示意圖,si6 ji3 tou4
示指,si6 zi2
示波器,si6 bo1 hei3
礽,jing4
社,se5
祀,zi6
社交圈,se5 gaau1 hyun1
社交圈子,se5 gaau1 hyun1 zi2
社交媒體,se5 gaau1 mui4 tai2
社交恐懼症,se5 gaau1 hung2 geoi6 zing3
社交網絡,se5 gaau1 mong5 lok6
社交距離,se5 gaau1 keoi5 lei4
社保,se5 bou2
社公,se5 gung1
社區,se5 keoi1
社區學院,se5 keoi1 hok6 jyun2
社區服務,se5 keoi1 fuk6 mou6
社員,se5 jyun4
社團,se5 tyun4
社屋,se5 uk1
社工,se5 gung1
社戲,se5 hei3
社會,se5 wui2
社會主義,se5 wui2 zyu2 ji6
社會主義核心價值觀,se5 wui2 zyu2 ji6 hat6 sam1 gaa3 zik6 gun1
社會主義現實主義,se5 wui2 zyu2 ji6 jin6 sat6 zyu2 ji6
社會保障,se5 wui2 bou2 zoeng3
社會保險,se5 wui2 bou2 him2
社會凝聚力,se5 wui2 jing4 zeoi6 lik6
社會分工,se5 wui2 fan1 gung1
社會問題,se5 wui2 man6 tai4
社會地位,se5 wui2 dei6 wai6
社會媒體,se5 wui2 mui4 tai2
社會學,se5 wui2 hok6
社會學家,se5 wui2 hok6 gaa1
社會安全號碼,se5 wui2 on1 cyun4 hou6 maa5
社會工作,se5 wui2 gung1 zok3
社會工作者,se5 wui2 gung1 zok3 ze2
社會工程,se5 wui2 gung1 cing4
社會工程學,se5 wui2 gung1 cing4 hok6
社會性別,se5 wui2 sing3 bit6
社會改革,se5 wui2 goi2 gaak3
社會方言,se5 wui2 fong1 jin4
社會服務,se5 wui2 fuk6 mou6
社會服務令,se5 wui2 fuk6 mou6 ling6
社會正義,se5 wui2 zing3 ji6
社會民主,se5 wui2 man4 zyu2
社會民主主義,se5 wui2 man4 zyu2 zyu2 ji6
社會民主黨,se5 wui2 man4 zyu2 dong2
社會流動,se5 wui2 lau4 dung6
社會現象,se5 wui2 jin6 zoeng6
社會環境,se5 wui2 waan4 ging2
社會研究,se5 wui2 jin4 gau3
社會福利,se5 wui2 fuk1 lei6
社會福利工作,se5 wui2 fuk1 lei6 gung1 zok3
社會福利工作者,se5 wui2 fuk1 lei6 gung1 zok3 ze2
社會科學,se5 wui2 fo1 hok6
社會科學學士,se5 wui2 fo1 hok6 hok6 si6
社會秩序,se5 wui2 dit6 zeoi6
社會網絡,se5 wui2 mong5 lok3
社會行為,se5 wui2 hang4 wai4
社會規範,se5 wui2 kwai1 faan6
社會角色,se5 wui2 gok3 sik1
社會語言學,se5 wui2 jyu5 jin4 hok6
社會距離,se5 wui2 keoi5 lei4
社會達爾文主義,se5 wui2 daat6 ji5 man4 zyu2 ji6
社會階層,se5 wui2 gaai1 cang4
社會階級,se5 wui2 gaai1 kap1
社會風氣,se5 wui2 fung1 hei3
社會黨,se5 wui2 dong2
社民黨,se5 man4 dong2
社火,se5 fo2
社科,se5 fo1
社稷,se5 zik1
社群,se5 kwan4
社評,se5 ping4
社說,se5 syut3
社論,se5 leon6
社距,se5 keoi5
社長,se5 zoeng2
祇,kei4
祉,zi2
祉,ci2
祊,bang1
祋,deoi3
祋,doi6
祌,zung6
祈使句,kei4 si2 geoi3
祈使句,kei4 sai2 geoi3
祈福黨,kei4 fuk1 dong2
祈禱書,kei4 tou2 syu1
祈願,kei4 jyun6
祓,fat1
祔,fu6
祕,bei3
祖,zou2
祗,zi1
祝,zuk1
神,san4
祟,seoi6
祠,ci4
祖上,zou2 soeng6
神主,san4 zyu2
神主牌,san4 zyu2 paai2
神交,san4 gaau1
神仙,san4 sin1
神仙水,san4 sin1 seoi2
神位,san4 wai2
神佛,san4 fat6
神像,san4 zoeng6
祖先,zou2 sin1
神兵,san4 bing1
神創論,san4 cong3 leon6
神劇,san4 kek6
神功,san4 gung1
神化,san4 faa3
